node_x,node_y,average_distance
4180.935547,1968.826782,220.33634363121945
5022.247559,4755.461426,204.92250578720243
6570.107422,7623.276855,218.6843131090852
5722.431152,7573.260742,227.05165328227258
4205.75293,3317.80957,175.4906804606899
5212.265137,2349.22168,220.96712297447914
6954.918457,2351.215332,234.3683347146409
3991.772705,2846.547852,188.93712097396474
3322.820068,6226.334961,238.6012517504501
3628.293213,3551.341309,191.7963990740476
5641.891113,2345.706543,233.7883798691092
5226.614746,6689.896973,212.88868566202737
4796.978027,2991.664307,181.53118801977652
6217.674316,4853.464355,171.56746020405248
7967.645996,6731.487793,190.98696807750565
6054.988281,7081.562988,205.23261410076876
5307.12793,5083.100098,197.6093967020091
2953.974365,2832.156006,253.1989711640136
6170.256348,7189.34375,213.98620216627134
6406.566895,6608.723633,192.19214083621503
5281.758789,4442.785156,168.73805835786345
3800.398438,5546.605957,230.34111057128976
3529.051758,5240.882324,223.77903460889942
2836.925049,3785.541992,213.87969477865738
5474.247559,7395.739746,220.395284501729
5034.678223,4530.129395,192.58878568774827
7802.749023,8701.765625,239.89135491983652
5068.319336,2256.241699,216.02131405218483
3859.083008,7620.374512,285.3262896173302
3356.439209,4321.605957,226.98771112571805
6708.516113,2162.387939,242.0851990511846
6658.90332,7561.989746,209.98815123889
6416.786133,7756.410156,245.77674259095195
5713.59082,5390.930176,171.17685690606154
4019.557129,3487.313965,188.58728244405705
3722.086182,2711.293945,204.26030693606927
6655.175293,7447.129395,224.09643051070276
5643.010254,7647.925293,234.63624932125404
3114.509277,3112.033203,274.6549627046955
4193.068359,3232.571533,178.57562801863335
6052.771484,5717.786621,175.7005915806922
5272.935059,5221.165039,205.67162413191963
6579.383301,7491.002441,221.44170215198193
2915.215332,1837.806519,286.4429367551656
1748.295288,2910.075195,277.67832871309764
3184.604248,4320.51416,227.66197022091396
2042.716675,2918.394531,257.0936126432511
2926.818848,4149.727539,214.36660284073048
6176.322754,7225.975098,215.4568774827813
5159.878418,6516.609863,203.0938755680032
6355.476074,4202.504883,193.18510474121916
5794.886719,7571.408203,217.71003972450058
7004.746094,8842.359375,257.30596439084337
4149.709961,7916.791992,297.29902546369067
4199.135254,3353.736572,175.0487382469778
2707.847656,1893.450806,260.3810922808722
6855.158691,4510.130371,191.68347860878512
5256.947266,6726.52832,215.94642050813067
4623.803223,3026.879639,185.44932696979222
3130.237793,5783.93457,265.57103826698295
5026.957031,4636.501465,199.11446943499757
5808.464355,7101.287598,202.2517961761596
2197.129883,1367.242188,303.6407590523277
7240.968262,2798.666504,229.5901231745306
5277.275391,6469.094727,194.8999056900346
4654.135254,3158.611328,186.83661512960475
6279.458008,7240.768555,213.8061387213855
5164.119629,2278.312012,216.96978651653282
8034.939453,9237.836914,265.61836472235717
5122.735352,2756.357422,218.6533051356063
2897.0271,2483.059814,232.24994427138407
5665.064941,6476.456055,190.44258237832585
2487.778809,1486.293945,294.7315595438827
4844.412109,5960.814453,220.68374724929268
2943.915039,4342.034668,214.16457946329055
5216.555664,6762.948242,212.47181275185048
5105.280273,6717.370605,209.2166728587351
6794.02002,6838.54248,213.93405161327198
2876.632812,3775.679688,217.00410391243463
4268.623535,4077.887939,236.80312080249206
5638.041504,6942.08252,198.49101769026322
5021.441895,2173.821045,214.96998085221915
6057.183594,6076.34375,174.4714640907662
6268.96875,6191.873535,175.92594667200137
5518.367188,7359.812988,215.7996856334486
5640.087402,6732.495117,199.50474693492612
7454.716797,4073.668457,210.15873796119
4273.311035,5987.012695,229.89046326198167
6731.127441,2367.537354,224.57898888285558
5237.766113,6726.077637,214.4230687891172
5290.577148,2331.617432,222.8897945185905
6174.651855,2263.990479,220.82893886999514
4100.96875,3348.80542,178.0115058157812
6119.519043,7602.847656,222.01671286902345
4215.14502,5855.858887,233.55283930153468
5335.805664,2969.121826,205.67955760052584
5279.569336,2771.601807,217.78048641079135
5965.089355,6997.036621,196.58385870652452
5466.526367,5015.374512,180.21125432254007
796.546753,1853.17749,297.23538052642107
4349.946777,5101.74707,246.75581721013975
6478.559082,7734.572266,236.73011345774628
5340.062988,5298.851562,198.46269040610443
4755.615723,4144.105957,195.05060158326427
5383.978516,5098.851562,185.3089480152039
7032.359375,7002.404297,197.7065531136578
5667.265137,3575.637695,183.9229401846189
4739.242188,4107.369141,194.62745848932582
7849.322754,9220.844727,261.28892572375753
5271.82666,2990.255371,199.6609013746392
7798.513184,8316.277344,238.1924666342774
3140.804443,4065.200928,225.4775685176188
4239.962402,5772.733887,232.50347803720956
4710.387695,3273.429443,190.23251693292562
3386.765869,4630.146973,222.56878625932382
6610.366211,7228.792969,222.76446514818096
5536.003906,3291.752197,199.74876968363293
3574.279785,5125.359863,226.54670629590467
4556.525879,5895.307617,229.07208710811352
4513.509277,6229.208984,221.1163156240176
6389.205566,6644.819336,193.84369123488898
6413.394043,7742.356445,239.85294504301106
7639.291016,2096.705322,257.11604126775455
4395.644043,6273.519043,225.9466091280615
4475.996582,3651.710938,180.80036009259524
2727.706787,2550.679688,241.40840216055557
6815.51709,4473.780762,198.91256608842275
6374.337402,7587.814941,226.90874224800663
5353.365234,2921.811279,207.156034408848
6216.036133,7528.17627,213.72570089451574
6101.253418,6552.078613,180.80206910348375
4108.689941,3399.525635,180.0818496184733
6057.183594,5524.070801,171.43502614958132
5145.616699,6902.457031,210.88431882484068
6005.337402,2650.013916,229.59371266897202
5620.305176,7297.772461,211.16303049355548
6704.043457,4771.868164,195.75786345060158
5007.654785,2977.575195,191.2621531250893
6485.176758,7330.233398,223.17431911062846
3584.592773,6183.86377,225.10867365894086
6009.82666,4144.521973,184.483512903318
3251.644043,4911.208008,216.97631962504644
6260.023438,7404.503418,224.62391472092824
6049.374512,5553.713867,177.27347032093968
993.171387,1614.989502,304.1526392500929
5790.811035,6690.601562,195.95076448229545
5942.483398,7261.901855,212.13146237603956
4221.349121,5940.441895,234.2986139292961
5217.791016,7016.753906,221.78174387699696
5028.109863,6463.600098,206.7178302992198
6582.538086,7811.568359,227.38871138292703
5681.769531,5199.897949,184.68691377782858
4330.947754,3314.991943,173.639975993827
6208.491699,3608.471924,203.64722928753108
6433.325195,6892.07373,202.10351804749791
5172.562988,6849.102051,209.85766054128203
6566.79248,6761.053223,202.66255894372838
6193.331055,6322.921875,178.44601754736934
2974.787842,4800.609375,229.9837272441485
6246.914551,6987.878418,202.27369895115888
5824.992676,5630.435059,174.57337601097424
5299.412109,6951.24707,208.09599039753078
7177.397461,4179.082031,212.35801206024405
3133.083496,3755.955322,210.59350118601927
3384.008301,5082.381836,219.01656425938097
4101.559082,2159.929443,219.365311079992
2810.580078,2880.833496,244.8511617273013
4733.318848,5993.810547,226.2486239318682
5502.914062,2629.592041,225.1286559400989
3197.608398,3762.999756,208.93340573290274
4287.379883,3443.898926,178.74800377239862
7709.694824,5382.371094,196.22733845846074
1849.053467,2149.454346,275.72278014346546
6343.05127,4325.416992,180.41294047040668
